Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event
Zbigniew Tadeusz Kaczmarek,_N8,33.0,164.0,67.0,Poland,POL,1980 Summer,1980,_N13,_N41,Weightlifting,Weightlifting Men's Lightweight
Jaroslav Vtek,_N10,21.0,205.0,115.0,Czechoslovakia,TCH,1936 Summer,1936,_N27,Berlin,Athletics,Athletics Men's Shot Put
"Gabriele Seyfert (-Rger, -Messerschmidt, -Krner)",_N49,19.0,160.0,47.0,East Germany,GDR,1968 Winter,1968,_N38,Grenoble,Figure Skating,Figure Skating Women's Singles
Dniel Zwickl,_N59,27.0,178.0,71.0,Hungary,HUN,2012 Summer,2012,_N32,London,_N86,Table Tennis Men's Singles
Jan Bo Otto Ottosson,_N94,23.0,175.0,70.0,_N61,SWE,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres
Salwan Jasim Abbood Abbood,M,24.0,180.0,104.0,Iraq,IRQ,2016 Summer,2016,_N42,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight
Santiago Esteva Escoda,M,24.0,174.0,67.0,Spain,ESP,_N2,1976,_N80,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay
Mara Brunetti,_N55,24.0,167.0,48.0,_N15,_N39,2000 Summer,2000,_N82,_N14,Synchronized Swimming,Synchronized Swimming Women's Team
Ute Wetzig,_N65,25.0,169.0,57.0,_N30,GER,_N9,1996,_N84,_N57,Diving,Diving Women's Platform
Guy Philip Renwick,M,27.0,183.0,82.0,Great Britain-1,_N52,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four
"Zsuzsanna ""Zsu"" Jakabos",_N79,27.0,185.0,70.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Individual Medley
Emerencia Siry-Kirly,F,23.0,174.0,62.0,Hungary,HUN,_N19,1972,Summer,Munich,_N63,Volleyball Women's Volleyball
Blanca Jeanette Morales Macella,F,18.0,173.0,57.0,Guatemala,GUA,_N71,1988,Summer,_N68,Swimming,Swimming Women's 100 metres Butterfly
